,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Exit Type,Holding Period
0,RELIANCE.NS,Long Closed,1996-02-16,16.28,1996-04-05,14.9,3071.0,49997.686,-4237.98,-8.476,Exit Trigger,49 days
1,RELIANCE.NS,Long Closed,1996-04-24,17.64,1996-06-18,17.21,2833.0,49986.714,-1218.19,-2.437,Exit Trigger,55 days
2,RELIANCE.NS,Long Closed,1996-08-13,14.82,1996-08-16,14.75,3374.0,49991.758,-236.18,-0.472,Exit Trigger,3 days
3,RELIANCE.NS,Long Closed,1996-08-30,15.07,1996-09-17,13.78,3317.0,49999.877,-4278.93,-8.558,Exit Trigger,18 days
4,RELIANCE.NS,Long Closed,1996-11-12,13.1,1996-11-21,13.04,3816.0,49987.491,-228.96,-0.458,Exit Trigger,9 days
5,RELIANCE.NS,Long Closed,1996-12-30,14.98,1997-04-15,19.12,3338.0,49994.65,13819.32,27.642,Exit Trigger,106 days
6,RELIANCE.NS,Long Closed,1997-05-01,22.11,1997-09-03,24.6,2260.0,49978.693,5627.4,11.26,Exit Trigger,125 days
7,RELIANCE.NS,Long Closed,1997-10-13,30.7,1997-11-27,23.28,1628.0,49975.493,-12079.76,-24.171,Exit Trigger,45 days
8,RELIANCE.NS,Long Closed,1998-01-14,23.21,1998-01-30,21.46,2154.0,49987.834,-3769.5,-7.541,Exit Trigger,16 days
9,RELIANCE.NS,Long Closed,1998-03-12,24.56,1998-05-25,25.63,2035.0,49987.121,2177.45,4.356,Exit Trigger,74 days
10,RELIANCE.NS,Long Closed,1998-10-07,15.85,1998-10-14,15.08,3154.0,49997.687,-2428.58,-4.857,Exit Trigger,7 days
11,RELIANCE.NS,Long Closed,1998-11-19,17.3,1999-02-26,20.06,2889.0,49984.596,7973.64,15.952,Exit Trigger,99 days
12,RELIANCE.NS,Long Closed,1999-03-03,21.41,1999-04-06,16.99,2335.0,49986.618,-10320.7,-20.647,Exit Trigger,34 days
13,RELIANCE.NS,Long Closed,1999-05-12,24.14,1999-08-09,25.25,2071.0,49984.119,2298.81,4.599,Exit Trigger,89 days
14,RELIANCE.NS,Long Closed,1999-09-09,27.26,1999-11-25,32.83,1833.0,49972.793,10209.81,20.431,Exit Trigger,77 days
15,RELIANCE.NS,Long Closed,2000-01-04,36.9,2000-03-10,33.42,1354.0,49966.212,-4711.92,-9.43,Exit Trigger,66 days
16,RELIANCE.NS,Long Closed,2000-04-18,42.43,2000-06-06,48.27,1178.0,49981.952,6879.52,13.764,Exit Trigger,49 days
17,RELIANCE.NS,Long Closed,2000-06-14,49.48,2000-08-10,47.41,1010.0,49979.265,-2090.7,-4.183,Exit Trigger,57 days
18,RELIANCE.NS,Long Closed,2000-09-13,55.12,2000-10-13,46.45,907.0,49992.355,-7863.69,-15.73,Exit Trigger,30 days
19,RELIANCE.NS,Long Closed,2000-12-07,48.04,2001-03-30,56.28,1040.0,49963.7,8569.6,17.152,Exit Trigger,113 days
20,RELIANCE.NS,Long Closed,2001-05-29,56.98,2001-06-28,51.13,877.0,49973.266,-5130.45,-10.266,Exit Trigger,30 days
21,RELIANCE.NS,Long Closed,2001-11-12,37.83,2002-02-12,44.27,1321.0,49974.682,8507.24,17.023,Exit Trigger,92 days
22,RELIANCE.NS,Long Closed,2002-03-06,43.99,2002-03-14,42.42,1136.0,49968.269,-1783.52,-3.569,Exit Trigger,8 days
23,RELIANCE.NS,Long Closed,2002-07-01,38.57,2002-07-10,39.13,1296.0,49982.092,725.76,1.452,Exit Trigger,9 days
24,RELIANCE.NS,Long Closed,2002-09-12,36.82,2002-10-15,34.59,1358.0,49997.457,-3028.34,-6.057,Exit Trigger,33 days
25,RELIANCE.NS,Long Closed,2002-11-19,38.82,2003-01-29,44.27,1287.0,49965.832,7014.15,14.038,Exit Trigger,71 days
26,RELIANCE.NS,Long Closed,2003-03-05,41.49,2003-03-27,40.4,1204.0,49958.872,-1312.36,-2.627,Exit Trigger,22 days
27,RELIANCE.NS,Long Closed,2003-04-15,41.84,2003-04-21,39.99,1194.0,49961.697,-2208.9,-4.421,Exit Trigger,6 days
